2020-10-23,BMY,Bristol-Myers Squibb Company,61.43,-0.86,-1.38%,15525000,11091000,138816000000
2020-10-23,KO,The Coca-Cola Company,48.15,-1.00,-2.03%,13775000,17997000,206921000000
2020-10-23,XPEV,XPeng Inc.,48.18,-1.98,-3.95%,13688000,36562000,34361000000
2020-10-23,CX,"CEMEX, S.A.B. de C.V.",5.73,-0.34,-5.60%,13400000,11910000,8656000000
2020-10-23,RLX,RLX Technology Inc.,22.5,-1.77,-7.29%,13408000,36903000,34950000000
2020-10-23,BA,The Boeing Company,194.19,-3.04,-1.54%,13259000,19502000,113081000000
2020-10-23,COTY,Coty Inc.,6.37,-0.38,-5.63%,12274000,14278000,4879000000
2020-10-23,LI,Li Auto Inc.,32.25,+0.04,+0.12%,12491000,30503000,28947000000
2020-10-23,JNPR,"Juniper Networks, Inc.",24.42,-1.69,-6.47%,12347000,4203000,8052000000
2020-10-23,CLOV,"Clover Health Investments, Corp.",13.95,-0.12,-0.85%,12311000,12836000,5642000000
2020-10-23,AZN,AstraZeneca PLC,50.6,-1.44,-2.77%,12446000,10994000,134941000000
2020-10-23,SU,Suncor Energy Inc.,16.73,-0.46,-2.68%,12134000,7875000,25446000000
2020-10-23,SPWR,SunPower Corporation,54.01,+1.12,+2.12%,12013000,9104000,9190000000
2020-10-23,BP,BP p.l.c.,22.22,-0.64,-2.80%,12071000,16497000,75800000000
2020-10-23,IBM,International Business Machines Corporation,119.11,-0.97,-0.81%,11825000,6299000,106134000000
2020-10-23,GILD,"Gilead Sciences, Inc.",65.6,+0.92,+1.42%,11724000,9334000,82232000000
2020-10-23,COP,ConocoPhillips,40.03,-1.08,-2.63%,11218000,12692000,54226000000
2020-10-23,AMRN,Amarin Corporation plc,7.5,+0.20,+2.74%,11659000,8119000,2916000000
2020-10-23,PSLV,Sprott Physical Silver Trust,9.58,+0.32,+3.46%,11553000,2122000,2372000000
2020-10-23,CVX,Chevron Corporation,85.2,-3.82,-4.29%,14697000,10986000,164011000000
2020-10-23,ORCL,Oracle Corporation,60.43,-0.79,-1.29%,11452000,10707000,177908000000
2020-10-23,APA,Apache Corporation,14.28,-0.66,-4.42%,11385000,10647000,5390000000
2020-10-23,HAL,Halliburton Company,17.63,-0.64,-3.50%,11373000,12127000,15585000000
2020-10-23,JMIA,Jumia Technologies AG,57.55,+1.10,+1.95%,11203000,15308000,5133000000
2020-10-23,BFT,Foley Trasimene Acquisition Corp. II,15.42,-0.22,-1.41%,9966000,10420000,2828000000
2020-10-23,RF,Regions Financial Corporation,17.01,-0.60,-3.41%,11010000,8879000,16337000000
2020-10-23,PK,Park Hotels & Resorts Inc.,16.68,-0.84,-4.79%,10997000,4807000,3930000000
